"resource_name","task_family","anatomy_or_domain","task_or_scenario","base_signal_type","source_url","source_type","dataset_url","evidence_url","status"
"FETAL PLANES DB","recognition_classification;quality_acquisition","Fetus, fetal abdomen, fetal brain, fetal femur, fetal thorax, maternal cervix","Fetal standard plane identification","labels/classes; quality/acquisition cues","https://www.nature.com/articles/s41598-020-67076-5","paper_or_evidence","https://zenodo.org/record/3904280","https://www.nature.com/articles/s41598-020-67076-5","verified_or_from_u2bench_source"
"RESECT","reconstruction_registration","Brain","","raw/reconstruction/registration targets","https://arxiv.org/abs/2207.07494","paper_or_evidence","https://osf.io/6y4db","https://arxiv.org/abs/2207.07494","verified_public_source"
"DDTI","recognition_classification;quality_acquisition;segmentation_localization","Thyroid","Thyroid nodule identification; thyroid nodule localisation","labels/classes; quality/acquisition cues; masks/boxes/landmarks","https://doi.org/10.1117/12.2073532","paper_or_evidence","","https://doi.org/10.1117/12.2073532","evidence_source_only"
"Ultrasound nerve segmentation","segmentation_localization","Brachial plexus","","masks/boxes/landmarks","https://www.kaggle.com/c/ultrasound-nerve-segmentation","paper_or_evidence","https://www.kaggle.com/c/ultrasound-nerve-segmentation","https://www.kaggle.com/c/ultrasound-nerve-segmentation","verified_or_curated"
"Ultrasound image enhancement","reconstruction_registration","Thyroid, liver, breast, kidney, and carotid artery","","raw/reconstruction/registration targets","https://pmc.ncbi.nlm.nih.gov/articles/PMC12722232/","secondary_catalogue","","","secondary_catalogue_only"
"Tufts medical echocardiogram dataset (TMED)","recognition_classification;measurement_quantification","Aortic stenosis, heart","","labels/classes; measurements/scores","https://arxiv.org/abs/2108.00080","paper_or_evidence","https://tmed.cs.tufts.edu/","https://arxiv.org/abs/2108.00080","verified_public_source"
"COVIDx-US","recognition_classification","Lung","","labels/classes","https://arxiv.org/abs/2103.10003","paper_or_evidence","https://github.com/nrc-cnrc/COVID-US","https://arxiv.org/abs/2103.10003","verified_or_curated"
"The open kidney ultrasound data set","recognition_classification;quality_acquisition;segmentation_localization","Kidney","Kidney multi-class semantic segmentation; kidney view labels; multi-rater annotation variability","labels/classes; quality/acquisition cues; masks/boxes/landmarks","https://arxiv.org/abs/2206.06657","paper_or_evidence","https://github.com/nikhilroxtomar/Ultrasound-Kidney-Images","https://arxiv.org/abs/2206.06657","verified_or_from_u2bench_source"
"FPUS23","recognition_classification;quality_acquisition;report_vqa_reasoning","Ultrasound fetus phantom","Fetal diagnostic plane identification; fetal ultrasound report generation","labels/classes; quality/acquisition cues; reports/QA/reasoning text","https://doi.org/10.1109/ACCESS.2023.3284315","paper_or_evidence","","https://doi.org/10.1109/ACCESS.2023.3284315","evidence_source_only"
"Thyroid ultrasound cine-clip","recognition_classification","Thyroid","","labels/classes","https://pmc.ncbi.nlm.nih.gov/articles/PMC12722232/","secondary_catalogue","","","secondary_catalogue_only"
"Reconstructing of 2D ultrasound (US) images into a 3D volume","reconstruction_registration","Forearms","","raw/reconstruction/registration targets","https://pmc.ncbi.nlm.nih.gov/articles/PMC12722232/","secondary_catalogue","","","secondary_catalogue_only"
"Fetal abdominal structures segmentation dataset using ultrasonic images","segmentation_localization","Fetal abdomen, fetal liver, fetal stomach, fetal aorta artery, fetal spine, intrahepatic portion of the umbilical vein","Fetal abdominal organ detection","masks/boxes/landmarks","https://doi.org/10.17632/4gcpm9dsc3.1","paper_or_evidence","https://doi.org/10.17632/4gcpm9dsc3.1","https://doi.org/10.17632/4gcpm9dsc3.1","verified_or_from_u2bench_source"
"Echocardiogram videos (EchoNet-Dynamic)","measurement_quantification","Heart","","measurements/scores","https://www.nature.com/articles/s41586-020-2145-8","paper_or_evidence","https://echonet.github.io/dynamic/","https://www.nature.com/articles/s41586-020-2145-8","verified_or_curated"
"FALLMUD","segmentation_localization","Fascia lata","Muscle detection","masks/boxes/landmarks","https://kalisteo.cea.fr/index.php/fallmud/","paper_or_evidence","https://kalisteo.cea.fr/index.php/fallmud/","https://kalisteo.cea.fr/index.php/fallmud/","verified_or_from_u2bench_source"
"Micro-ultrasound prostate segmentation dataset","recognition_classification;quality_acquisition;segmentation_localization","Prostate","Prostate localisation; prostate diagnostic view identification","labels/classes; quality/acquisition cues; masks/boxes/landmarks","https://doi.org/10.5281/zenodo.10475293","paper_or_evidence","https://doi.org/10.5281/zenodo.10475293","https://doi.org/10.5281/zenodo.10475293","verified_or_from_u2bench_source"
"CAMUS","recognition_classification;quality_acquisition;segmentation_localization;measurement_quantification","Heart","Ejection fraction estimation; atrium and ventricle localisation","labels/classes; quality/acquisition cues; masks/boxes/landmarks; measurements/scores","https://doi.org/10.1109/TMI.2019.2900516","paper_or_evidence","https://www.creatis.insa-lyon.fr/Challenge/camus/","https://doi.org/10.1109/TMI.2019.2900516","verified_or_from_u2bench_source"
"Echocardiography (EchoNet-LVH)","measurement_quantification;recognition_classification","Heart","","measurements/scores; labels/classes","https://arxiv.org/abs/2106.12511","paper_or_evidence","https://echonet.github.io/lvh/","https://arxiv.org/abs/2106.12511","verified_public_source"
